date,msg,ref
"April 18 2018",1,http://denverpostplus.com/lightsqueue/
"April 18 2018",1,http://denverpostplus.com/lightsqueue/
"April 19 2018",3,http://denverpostplus.com/lightsqueue/
"April 19 2018",1,http://denverpostplus.com/lightsqueue/
"April 19 2018",2,http://denverpostplus.com/lightsqueue/
"April 21 2018",1,http://denverpostplus.com/lightsqueue/
"April 21 2018",1,http://denverpostplus.com/lightsqueue/
"April 21 2018",1,http://denverpostplus.com/lightsqueue/
"April 21 2018",1,http://denverpostplus.com/lightsqueue/
"April 23 2018",1,http://denverpostplus.com/lightsqueue/
"April 24 2018",1,http://denverpostplus.com/lightsqueue/
"April 25 2018",1,http://denverpostplus.com/lightsqueue/
